From	To	Species	Gene Name
Q86VP3	ENSG00000179364	Homo sapiens	phosphofurin acidic cluster sorting protein 2(PACS2)
Q9Y4L1	ENSG00000149428	Homo sapiens	hypoxia up-regulated 1(HYOU1)
Q9Y4L1	ENSG00000280682	Homo sapiens	hypoxia up-regulated 1(HYOU1)
Q9UJC3	ENSG00000134709	Homo sapiens	hook microtubule tethering protein 1(HOOK1)
Q709F0	ENSG00000240303	Homo sapiens	acyl-CoA dehydrogenase family member 11(ACAD11)
Q86VP1	ENSG00000106052	Homo sapiens	Tax1 binding protein 1(TAX1BP1)
O75380	ENSG00000145494	Homo sapiens	NADH:ubiquinone oxidoreductase subunit S6(NDUFS6)
Q504Q3	ENSG00000135473	Homo sapiens	poly(A) specific ribonuclease subunit PAN2(PAN2)
O75381	ENSG00000142655	Homo sapiens	peroxisomal biogenesis factor 14(PEX14)
Q9NVP1	ENSG00000088205	Homo sapiens	DEAD-box helicase 18(DDX18)
Q9NVP2	ENSG00000288210	Homo sapiens	anti-silencing function 1B histone chaperone(ASF1B)
Q9NVP2	ENSG00000105011	Homo sapiens	anti-silencing function 1B histone chaperone(ASF1B)
Q9NW13	ENSG00000106344	Homo sapiens	RNA binding motif protein 28(RBM28)
Q9NW15	ENSG00000160746	Homo sapiens	anoctamin 10(ANO10)
Q4J6C6	ENSG00000138078	Homo sapiens	prolyl endopeptidase like(PREPL)
Q6NXE6	ENSG00000105676	Homo sapiens	armadillo repeat containing 6(ARMC6)
P22102	ENSG00000159131	Homo sapiens	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase(GART)
P22102	ENSG00000262473	Homo sapiens	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase(GART)
P23434	ENSG00000140905	Homo sapiens	glycine cleavage system protein H(GCSH)
Q9BSJ2	ENSG00000130640	Homo sapiens	tubulin gamma complex component 2(TUBGCP2)
Q9BSJ8	ENSG00000139641	Homo sapiens	extended synaptotagmin 1(ESYT1)
Q29RF7	ENSG00000121892	Homo sapiens	PDS5 cohesin associated factor A(PDS5A)
O75368	ENSG00000131171	Homo sapiens	SH3 domain binding glutamate rich protein like(SH3BGRL)
Q8WVM7	ENSG00000118007	Homo sapiens	STAG1 cohesin complex component(STAG1)
O75369	ENSG00000136068	Homo sapiens	filamin B(FLNB)
Q8WVM8	ENSG00000092108	Homo sapiens	sec1 family domain containing 1(SCFD1)
O75367	ENSG00000113648	Homo sapiens	macroH2A.1 histone(MACROH2A1)
Q9H2W6	ENSG00000259494	Homo sapiens	mitochondrial ribosomal protein L46(MRPL46)
Q9NVQ4	ENSG00000158234	Homo sapiens	Fas apoptotic inhibitory molecule(FAIM)
P09110	ENSG00000060971	Homo sapiens	acetyl-CoA acyltransferase 1(ACAA1)
Q5VUA4	ENSG00000171467	Homo sapiens	zinc finger protein 318(ZNF318)
Q8WVM0	ENSG00000029639	Homo sapiens	transcription factor B1, mitochondrial(TFB1M)
Q7Z2Z2	ENSG00000140598	Homo sapiens	elongation factor like GTPase 1(EFL1)
P10109	ENSG00000137714	Homo sapiens	ferredoxin 1(FDX1)
Q8WVL7	ENSG00000168876	Homo sapiens	ankyrin repeat domain 49(ANKRD49)
Q01581	ENSG00000112972	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA synthase 1(HMGCS1)
O75351	ENSG00000119541	Homo sapiens	vacuolar protein sorting 4 homolog B(VPS4B)
Q86VN1	ENSG00000136100	Homo sapiens	vacuolar protein sorting 36 homolog(VPS36)
O75352	ENSG00000129255	Homo sapiens	mannose-P-dolichol utilization defect 1(MPDU1)
Q9H2V7	ENSG00000169682	Homo sapiens	SPNS lysolipid transporter 1, lysophospholipid(SPNS1)
Q9NVR0	ENSG00000178502	Homo sapiens	kelch like family member 11(KLHL11)
Q709C8	ENSG00000129003	Homo sapiens	vacuolar protein sorting 13 homolog C(VPS13C)
Q9NVR5	ENSG00000165506	Homo sapiens	dynein axonemal assembly factor 2(DNAAF2)
Q5BJH7	ENSG00000167645	Homo sapiens	Yip1 interacting factor homolog B, membrane trafficking protein(YIF1B)
Q7KYR7	ENSG00000112763	Homo sapiens	butyrophilin subfamily 2 member A1(BTN2A1)
Q9BSH5	ENSG00000119431	Homo sapiens	haloacid dehalogenase like hydrolase domain containing 3(HDHD3)
Q9BSH4	ENSG00000136463	Homo sapiens	translational activator of cytochrome c oxidase I(TACO1)
Q86VU5	ENSG00000165644	Homo sapiens	catechol-O-methyltransferase domain containing 1(COMTD1)
Q3SXM5	ENSG00000103160	Homo sapiens	hydroxysteroid dehydrogenase like 1(HSDL1)
O75348	ENSG00000136888	Homo sapiens	ATPase H+ transporting V1 subunit G1(ATP6V1G1)
O75347	ENSG00000171530	Homo sapiens	tubulin folding cofactor A(TBCA)
O75340	ENSG00000249915	Homo sapiens	programmed cell death 6(PDCD6)
P10155	ENSG00000116747	Homo sapiens	Ro60, Y RNA binding protein(RO60)
P46109	ENSG00000099942	Homo sapiens	CRK like proto-oncogene, adaptor protein(CRKL)
Q5ZPR3	ENSG00000103855	Homo sapiens	CD276 molecule(CD276)
Q9BT09	ENSG00000137161	Homo sapiens	canopy FGF signaling regulator 3(CNPY3)
Q9NVK5	ENSG00000111790	Homo sapiens	FGFR1 oncogene partner 2(FGFR1OP2)
Q96PM9	ENSG00000161642	Homo sapiens	zinc finger protein 385A(ZNF385A)
Q99848	ENSG00000117395	Homo sapiens	EBNA1 binding protein 2(EBNA1BP2)
P46108	ENSG00000167193	Homo sapiens	CRK proto-oncogene, adaptor protein(CRK)
A9UHW6	ENSG00000125457	Homo sapiens	MIF4G domain containing(MIF4GD)
Q96PM5	ENSG00000163743	Homo sapiens	ring finger and CHY zinc finger domain containing 1(RCHY1)
Q86W54	ENSG00000170469	Homo sapiens	spermatogenesis associated 24(SPATA24)
Q86W50	ENSG00000127804	Homo sapiens	methyltransferase 16, RNA N6-adenosine(METTL16)
P46100	ENSG00000085224	Homo sapiens	ATRX chromatin remodeler(ATRX)
Q9Y4H2	ENSG00000185950	Homo sapiens	insulin receptor substrate 2(IRS2)
P36776	ENSG00000196365	Homo sapiens	lon peptidase 1, mitochondrial(LONP1)
Q5PSV4	ENSG00000100916	Homo sapiens	BRMS1 like transcriptional repressor(BRMS1L)
O75330	ENSG00000072571	Homo sapiens	hyaluronan mediated motility receptor(HMMR)
P11498	ENSG00000173599	Homo sapiens	pyruvate carboxylase(PC)
Q86W56	ENSG00000227345	Homo sapiens	poly(ADP-ribose) glycohydrolase(PARG)
Q99832	ENSG00000135624	Homo sapiens	chaperonin containing TCP1 subunit 7(CCT7)
Q99836	ENSG00000172936	Homo sapiens	MYD88 innate immune signal transduction adaptor(MYD88)
Q86W42	ENSG00000131652	Homo sapiens	THO complex subunit 6(THOC6)
O75323	ENSG00000146729	Homo sapiens	nipsnap homolog 2(NIPSNAP2)
Q02880	ENSG00000077097	Homo sapiens	DNA topoisomerase II beta(TOP2B)
Q86VS8	ENSG00000168172	Homo sapiens	hook microtubule tethering protein 3(HOOK3)
Q9Y4I1	ENSG00000197535	Homo sapiens	myosin VA(MYO5A)
Q8WVQ1	ENSG00000171302	Homo sapiens	calcium activated nucleotidase 1(CANT1)
Q7KZ85	ENSG00000109111	Homo sapiens	SPT6 homolog, histone chaperone and transcription elongation factor(SUPT6H)
Q02878	ENSG00000089009	Homo sapiens	ribosomal protein L6(RPL6)
Q99829	ENSG00000214078	Homo sapiens	copine 1(CPNE1)
Q96PK6	ENSG00000239306	Homo sapiens	RNA binding motif protein 14(RBM14)
Q96PK6	ENSG00000248643	Homo sapiens	RBM14-RBM4 readthrough(RBM14-RBM4)
Q9NVM6	ENSG00000104129	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C17(DNAJC17)
Q99828	ENSG00000185043	Homo sapiens	calcium and integrin binding 1(CIB1)
Q9NVM9	ENSG00000064102	Homo sapiens	integrator complex subunit 13(INTS13)
P23443	ENSG00000108443	Homo sapiens	ribosomal protein S6 kinase B1(RPS6KB1)
Q86VR2	ENSG00000141699	Homo sapiens	reticulophagy regulator family member 3(RETREG3)
Q17RN3	ENSG00000130244	Homo sapiens	family with sequence similarity 98 member C(FAM98C)
Q9BSM1	ENSG00000115289	Homo sapiens	polycomb group ring finger 1(PCGF1)
O75312	ENSG00000109917	Homo sapiens	ZPR1 zinc finger(ZPR1)
Q9UJA5	ENSG00000089195	Homo sapiens	tRNA methyltransferase 6 non-catalytic subunit(TRMT6)
P48739	ENSG00000180957	Homo sapiens	phosphatidylinositol transfer protein beta(PITPNB)
Q9Y4J8	ENSG00000134769	Homo sapiens	dystrobrevin alpha(DTNA)
Q9NVN3	ENSG00000111785	Homo sapiens	RIC8 guanine nucleotide exchange factor B(RIC8B)
Q6PML9	ENSG00000014824	Homo sapiens	solute carrier family 30 member 9(SLC30A9)
O95707	ENSG00000105171	Homo sapiens	POP4 homolog, ribonuclease P/MRP subunit(POP4)
P48730	ENSG00000141551	Homo sapiens	casein kinase 1 delta(CSNK1D)
Q9NVN8	ENSG00000130119	Homo sapiens	G protein nucleolar 3 like(GNL3L)
Q99816	ENSG00000074319	Homo sapiens	tumor susceptibility 101(TSG101)
Q8WW12	ENSG00000081154	Homo sapiens	PEST proteolytic signal containing nuclear protein(PCNP)
P48735	ENSG00000182054	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 2(IDH2)
P54578	ENSG00000101557	Homo sapiens	ubiquitin specific peptidase 14(USP14)
Q9NVF7	ENSG00000143756	Homo sapiens	F-box protein 28(FBXO28)
P54577	ENSG00000134684	Homo sapiens	tyrosyl-tRNA synthetase 1(YARS1)
Q13510	ENSG00000104763	Homo sapiens	N-acylsphingosine amidohydrolase 1(ASAH1)
O75306	ENSG00000158864	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S2(NDUFS2)
P28288	ENSG00000117528	Homo sapiens	ATP binding cassette subfamily D member 3(ABCD3)
P28289	ENSG00000136842	Homo sapiens	tropomodulin 1(TMOD1)
Q14847	ENSG00000002834	Homo sapiens	LIM and SH3 protein 1(LASP1)
O95714	ENSG00000276802	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)
O95714	ENSG00000277278	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)
O95714	ENSG00000128731	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)
P78540	ENSG00000081181	Homo sapiens	arginase 2(ARG2)
Q14849	ENSG00000131748	Homo sapiens	StAR related lipid transfer domain containing 3(STARD3)
Q9BSC4	ENSG00000115761	Homo sapiens	nucleolar protein 10(NOL10)
Q9Y4C1	ENSG00000115548	Homo sapiens	lysine demethylase 3A(KDM3A)
P41252	ENSG00000196305	Homo sapiens	isoleucyl-tRNA synthetase 1(IARS1)
Q86VI3	ENSG00000183856	Homo sapiens	IQ motif containing GTPase activating protein 3(IQGAP3)
Q7Z2T5	ENSG00000121486	Homo sapiens	tRNA methyltransferase 1 like(TRMT1L)
P41250	ENSG00000106105	Homo sapiens	glycyl-tRNA synthetase 1(GARS1)
Q9Y4C2	ENSG00000198420	Homo sapiens	TRPM8 channel associated factor 1(TCAF1)
Q9HD34	ENSG00000214113	Homo sapiens	LYR motif containing 4(LYRM4)
Q9HD33	ENSG00000136522	Homo sapiens	mitochondrial ribosomal protein L47(MRPL47)
Q9Y4C8	ENSG00000122965	Homo sapiens	RNA binding motif protein 19(RBM19)
Q13523	ENSG00000112739	Homo sapiens	pre-mRNA processing factor 4B(PRPF4B)
O95721	ENSG00000099940	Homo sapiens	synaptosome associated protein 29(SNAP29)
Q9NVG8	ENSG00000107021	Homo sapiens	TBC1 domain family member 13(TBC1D13)
P78536	ENSG00000151694	Homo sapiens	ADAM metallopeptidase domain 17(ADAM17)
Q13526	ENSG00000127445	Homo sapiens	peptidylprolyl cis/trans isomerase, NIMA-interacting 1(PIN1)
Q9H2P9	ENSG00000117543	Homo sapiens	diphthamide biosynthesis 5(DPH5)
P78537	ENSG00000135441	Homo sapiens	biogenesis of lysosomal organelles complex 1 subunit 1(BLOC1S1)
P28290	ENSG00000138434	Homo sapiens	ITPR interacting domain containing 2(ITPRID2)
Q63HN8	ENSG00000173821	Homo sapiens	ring finger protein 213(RNF213)
Q9H2P0	ENSG00000101126	Homo sapiens	activity dependent neuroprotector homeobox(ADNP)
Q9HD26	ENSG00000047932	Homo sapiens	golgi associated PDZ and coiled-coil motif containing(GOPC)
P41240	ENSG00000103653	Homo sapiens	C-terminal Src kinase(CSK)
Q9NVH0	ENSG00000081177	Homo sapiens	exonuclease 3'-5' domain containing 2(EXD2)
Q9HD23	ENSG00000124532	Homo sapiens	magnesium transporter MRS2(MRS2)
Q9NVH1	ENSG00000007923	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C11(DNAJC11)
Q9NVH2	ENSG00000143493	Homo sapiens	integrator complex subunit 7(INTS7)
P42574	ENSG00000164305	Homo sapiens	caspase 3(CASP3)
P42575	ENSG00000106144	Homo sapiens	caspase 2(CASP2)
Q9NVH6	ENSG00000185973	Homo sapiens	trimethyllysine hydroxylase, epsilon(TMLHE)
Q9HD20	ENSG00000105726	Homo sapiens	ATPase 13A1(ATP13A1)
Q13535	ENSG00000175054	Homo sapiens	ATR serine/threonine kinase(ATR)
Q9H307	ENSG00000100941	Homo sapiens	pinin, desmosome associated protein(PNN)
Q8WVE0	ENSG00000150456	Homo sapiens	EEF1A lysine methyltransferase 1(EEF1AKMT1)
P29590	ENSG00000140464	Homo sapiens	PML nuclear body scaffold(PML)
Q9Y4E1	ENSG00000172661	Homo sapiens	WASH complex subunit 2C(WASHC2C)
Q9H300	ENSG00000283765	Homo sapiens	presenilin associated rhomboid like(PARL)
Q9H300	ENSG00000175193	Homo sapiens	presenilin associated rhomboid like(PARL)
P42568	ENSG00000171843	Homo sapiens	MLLT3 super elongation complex subunit(MLLT3)
Q9Y4E6	ENSG00000091157	Homo sapiens	WD repeat domain 7(WDR7)
Q9Y4E8	ENSG00000135655	Homo sapiens	ubiquitin specific peptidase 15(USP15)
Q9HD15	ENSG00000126461	Homo sapiens	SR-related CTD associated factor 1(SCAF1)
Q9HD15	ENSG00000213523	Homo sapiens	steroid receptor RNA activator 1(SRA1)
Q7Z333	ENSG00000107290	Homo sapiens	senataxin(SETX)
Q9Y4E5	ENSG00000112200	Homo sapiens	zinc finger protein 451(ZNF451)
Q9NVI1	ENSG00000140525	Homo sapiens	FA complementation group I(FANCI)
Q6NWY9	ENSG00000110844	Homo sapiens	pre-mRNA processing factor 40 homolog B(PRPF40B)
Q13541	ENSG00000187840	Homo sapiens	eukaryotic translation initiation factor 4E binding protein 1(EIF4EBP1)
Q9NVI7	ENSG00000197785	Homo sapiens	ATPase family AAA domain containing 3A(ATAD3A)
P42566	ENSG00000085832	Homo sapiens	epidermal growth factor receptor pathway substrate 15(EPS15)
P41236	ENSG00000184203	Homo sapiens	protein phosphatase 1 regulatory inhibitor subunit 2(PPP1R2)
P41236	ENSG00000231989	Homo sapiens	PPP1R2 family member B(PPP1R2B)
P43897	ENSG00000123297	Homo sapiens	Ts translation elongation factor, mitochondrial(TSFM)
Q13542	ENSG00000148730	Homo sapiens	eukaryotic translation initiation factor 4E binding protein 2(EIF4EBP2)
Q8WVD3	ENSG00000134758	Homo sapiens	ring finger protein 138(RNF138)
O95747	ENSG00000172939	Homo sapiens	oxidative stress responsive kinase 1(OXSR1)
Q13547	ENSG00000116478	Homo sapiens	histone deacetylase 1(HDAC1)
Q13546	ENSG00000137275	Homo sapiens	receptor interacting serine/threonine kinase 1(RIPK1)
Q9Y4F1	ENSG00000152767	Homo sapiens	FERM, ARH/RhoGEF and pleckstrin domain protein 1(FARP1)
P78559	ENSG00000166963	Homo sapiens	microtubule associated protein 1A(MAP1A)
P41223	ENSG00000106245	Homo sapiens	BUD31 homolog(BUD31)
P16298	ENSG00000107758	Homo sapiens	protein phosphatase 3 catalytic subunit beta(PPP3CB)
Q9Y4F5	ENSG00000099814	Homo sapiens	centrosomal protein 170B(CEP170B)
Q9NVJ2	ENSG00000134108	Homo sapiens	ADP ribosylation factor like GTPase 8B(ARL8B)
O95749	ENSG00000152904	Homo sapiens	geranylgeranyl diphosphate synthase 1(GGPS1)
P41229	ENSG00000126012	Homo sapiens	lysine demethylase 5C(KDM5C)
P78560	ENSG00000169372	Homo sapiens	CASP2 and RIPK1 domain containing adaptor with death domain(CRADD)
P41227	ENSG00000102030	Homo sapiens	N-alpha-acetyltransferase 10, NatA catalytic subunit(NAA10)
P41225	ENSG00000134595	Homo sapiens	SRY-box transcription factor 3(SOX3)
Q13555	ENSG00000148660	Homo sapiens	calcium/calmodulin dependent protein kinase II gamma(CAMK2G)
Q96PE7	ENSG00000124370	Homo sapiens	methylmalonyl-CoA epimerase(MCEE)
Q8WVK7	ENSG00000182628	Homo sapiens	spindle and kinetochore associated complex subunit 2(SKA2)
O95758	ENSG00000119314	Homo sapiens	polypyrimidine tract binding protein 3(PTBP3)
O95757	ENSG00000164070	Homo sapiens	heat shock protein family A (Hsp70) member 4 like(HSPA4L)
Q13557	ENSG00000145349	Homo sapiens	calcium/calmodulin dependent protein kinase II delta(CAMK2D)
O95755	ENSG00000100228	Homo sapiens	RAB36, member RAS oncogene family(RAB36)
Q7Z2W9	ENSG00000197345	Homo sapiens	mitochondrial ribosomal protein L21(MRPL21)
Q5EBL4	ENSG00000188026	Homo sapiens	Rab interacting lysosomal protein like 1(RILPL1)
Q5EBL8	ENSG00000120509	Homo sapiens	PDZ domain containing 11(PDZD11)
Q7Z392	ENSG00000168538	Homo sapiens	trafficking protein particle complex subunit 11(TRAPPC11)
Q9H2U2	ENSG00000138777	Homo sapiens	inorganic pyrophosphatase 2(PPA2)
Q9H2U1	ENSG00000281763	Homo sapiens	DEAH-box helicase 36(DHX36)
Q9H2U1	ENSG00000174953	Homo sapiens	DEAH-box helicase 36(DHX36)
Q86VM9	ENSG00000158545	Homo sapiens	zinc finger CCCH-type containing 18(ZC3H18)
Q8WVK2	ENSG00000124380	Homo sapiens	small nuclear ribonucleoprotein U4/U6.U5 subunit 27(SNRNP27)
Q9UJ68	ENSG00000175806	Homo sapiens	methionine sulfoxide reductase A(MSRA)
Q9UJ68	ENSG00000285250	Homo sapiens	methionine sulfoxide reductase A(MSRA)
Q13563	ENSG00000118762	Homo sapiens	polycystin 2, transient receptor potential cation channel(PKD2)
A0A0U1RRE5	ENSG00000204272	Homo sapiens	negative regulator of P-body association(NBDY)
Q147X3	ENSG00000139977	Homo sapiens	N-alpha-acetyltransferase 30, NatC catalytic subunit(NAA30)
Q13561	ENSG00000175203	Homo sapiens	dynactin subunit 2(DCTN2)
Q13564	ENSG00000159593	Homo sapiens	NEDD8 activating enzyme E1 subunit 1(NAE1)
Q96PD2	ENSG00000057019	Homo sapiens	discoidin, CUB and LCCL domain containing 2(DCBLD2)
P11413	ENSG00000160211	Homo sapiens	glucose-6-phosphate dehydrogenase(G6PD)
Q7Z2W4	ENSG00000105939	Homo sapiens	zinc finger CCCH-type containing, antiviral 1(ZC3HAV1)
Q9UIV1	ENSG00000198791	Homo sapiens	CCR4-NOT transcription complex subunit 7(CNOT7)
Q9UJ70	ENSG00000124357	Homo sapiens	N-acetylglucosamine kinase(NAGK)
Q8WVJ2	ENSG00000170584	Homo sapiens	NudC domain containing 2(NUDCD2)
Q5BJF2	ENSG00000109084	Homo sapiens	transmembrane protein 97(TMEM97)
Q9BSF4	ENSG00000142444	Homo sapiens	translocase of inner mitochondrial membrane 29(TIMM29)
Q13573	ENSG00000100603	Homo sapiens	SNW domain containing 1(SNW1)
P09104	ENSG00000111674	Homo sapiens	enolase 2(ENO2)
Q9HCU5	ENSG00000138073	Homo sapiens	prolactin regulatory element binding(PREB)
Q96PC5	ENSG00000150527	Homo sapiens	MIA SH3 domain ER export factor 2(MIA2)
Q13576	ENSG00000145703	Homo sapiens	IQ motif containing GTPase activating protein 2(IQGAP2)
Q9NVD7	ENSG00000197702	Homo sapiens	parvin alpha(PARVA)
P55884	ENSG00000106263	Homo sapiens	eukaryotic translation initiation factor 3 subunit B(EIF3B)
O95777	ENSG00000128534	Homo sapiens	LSM8 homolog, U6 small nuclear RNA associated(LSM8)
Q96PC3	ENSG00000152056	Homo sapiens	adaptor related protein complex 1 subunit sigma 3(AP1S3)
O95772	ENSG00000010270	Homo sapiens	STARD3 N-terminal like(STARD3NL)
P78527	ENSG00000253729	Homo sapiens	protein kinase, DNA-activated, catalytic subunit(PRKDC)
Q9Y4A5	ENSG00000196367	Homo sapiens	transformation/transcription domain associated protein(TRRAP)
Q9UIW2	ENSG00000114554	Homo sapiens	plexin A1(PLXNA1)
Q5RI15	ENSG00000203667	Homo sapiens	cytochrome c oxidase assembly factor COX20(COX20)
Q9UJ83	ENSG00000131373	Homo sapiens	2-hydroxyacyl-CoA lyase 1(HACL1)
Q8WVI0	ENSG00000168273	Homo sapiens	ubiquinol-cytochrome c reductase complex assembly factor 5(UQCC5)
Q13585	ENSG00000102195	Homo sapiens	G protein-coupled receptor 50(GPR50)
O95786	ENSG00000288684	Homo sapiens	RNA sensor RIG-I(RIGI)
O95786	ENSG00000107201	Homo sapiens	RNA sensor RIG-I(RIGI)
Q9NVE7	ENSG00000273494	Homo sapiens	pantothenate kinase 4 (inactive)(PANK4)
Q9NVE7	ENSG00000157881	Homo sapiens	pantothenate kinase 4 (inactive)(PANK4)
O95785	ENSG00000011451	Homo sapiens	WIZ zinc finger(WIZ)
Q13586	ENSG00000167323	Homo sapiens	stromal interaction molecule 1(STIM1)
Q9H334	ENSG00000114861	Homo sapiens	forkhead box P1(FOXP1)
O95782	ENSG00000196961	Homo sapiens	adaptor related protein complex 2 subunit alpha 1(AP2A1)
Q9H330	ENSG00000106771	Homo sapiens	transmembrane protein 245(TMEM245)
P55899	ENSG00000104870	Homo sapiens	Fc gamma receptor and transporter(FCGRT)
Q9Y4B6	ENSG00000145041	Homo sapiens	DDB1 and CUL4 associated factor 1(DCAF1)
Q9Y4B5	ENSG00000168502	Homo sapiens	microtubule crosslinking factor 1(MTCL1)
P67870	ENSG00000224398	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000224774	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000228875	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000206406	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000204435	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000230700	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000258589	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000232960	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000263020	Homo sapiens	casein kinase 2 beta(CSNK2B)
P67870	ENSG00000258543	Homo sapiens	casein kinase 2 beta(CSNK2B)
Q9BSD7	ENSG00000135778	Homo sapiens	nucleoside-triphosphatase, cancer-related(NTPCR)
Q9HD45	ENSG00000077147	Homo sapiens	transmembrane 9 superfamily member 3(TM9SF3)
Q9HCS7	ENSG00000076924	Homo sapiens	XPA binding protein 2(XAB2)
Q9HD47	ENSG00000108961	Homo sapiens	RAN guanine nucleotide release factor(RANGRF)
Q13596	ENSG00000028528	Homo sapiens	sorting nexin 1(SNX1)
Q13595	ENSG00000164548	Homo sapiens	transformer 2 alpha homolog(TRA2A)
Q9HD42	ENSG00000131165	Homo sapiens	charged multivesicular body protein 1A(CHMP1A)
Q9UHN6	ENSG00000135048	Homo sapiens	cell migration inducing hyaluronidase 2(CEMIP2)
Q6NW29	ENSG00000182552	Homo sapiens	RWD domain containing 4(RWDD4)
Q5VT06	ENSG00000135837	Homo sapiens	centrosomal protein 350(CEP350)
Q9Y2W6	ENSG00000182134	Homo sapiens	tudor and KH domain containing(TDRKH)
Q9Y388	ENSG00000134597	Homo sapiens	RNA binding motif protein X-linked 2(RBMX2)
Q06265	ENSG00000123737	Homo sapiens	exosome component 9(EXOSC9)
Q6QNY1	ENSG00000196072	Homo sapiens	biogenesis of lysosomal organelles complex 1 subunit 2(BLOC1S2)
Q6QNY0	ENSG00000189114	Homo sapiens	biogenesis of lysosomal organelles complex 1 subunit 3(BLOC1S3)
Q9HBH5	ENSG00000240857	Homo sapiens	retinol dehydrogenase 14(RDH14)
Q9Y394	ENSG00000100612	Homo sapiens	dehydrogenase/reductase 7(DHRS7)
Q70Z53	ENSG00000148690	Homo sapiens	FRA10A associated CGG repeat 1(FRA10AC1)
Q9Y2X3	ENSG00000055044	Homo sapiens	NOP58 ribonucleoprotein(NOP58)
Q9Y2X0	ENSG00000282092	Homo sapiens	mediator complex subunit 16(MED16)
Q9Y2X0	ENSG00000175221	Homo sapiens	mediator complex subunit 16(MED16)
P27105	ENSG00000148175	Homo sapiens	stomatin(STOM)
Q9Y2X7	ENSG00000108262	Homo sapiens	GIT ArfGAP 1(GIT1)
Q9UI09	ENSG00000184752	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A12(NDUFA12)
Q9Y399	ENSG00000122140	Homo sapiens	mitochondrial ribosomal protein S2(MRPS2)
Q9UI08	ENSG00000196405	Homo sapiens	Enah/Vasp-like(EVL)
Q9Y2X9	ENSG00000162702	Homo sapiens	zinc finger protein 281(ZNF281)
Q96NU1	ENSG00000187634	Homo sapiens	sterile alpha motif domain containing 11(SAMD11)
Q96NT5	ENSG00000076351	Homo sapiens	solute carrier family 46 member 1(SLC46A1)
Q9UI10	ENSG00000115211	Homo sapiens	eukaryotic translation initiation factor 2B subunit delta(EIF2B4)
Q6NW34	ENSG00000163608	Homo sapiens	nucleolus and neural progenitor protein(NEPRO)
Q9H1E5	ENSG00000125827	Homo sapiens	thioredoxin related transmembrane protein 4(TMX4)
Q9UI14	ENSG00000105404	Homo sapiens	Rab acceptor 1(RABAC1)
Q9Y2Y0	ENSG00000102931	Homo sapiens	ADP ribosylation factor like GTPase 2 binding protein(ARL2BP)
Q9UI12	ENSG00000047249	Homo sapiens	ATPase H+ transporting V1 subunit H(ATP6V1H)
P05787	ENSG00000170421	Homo sapiens	keratin 8(KRT8)
Q9H1E3	ENSG00000069275	Homo sapiens	nuclear casein kinase and cyclin dependent kinase substrate 1(NUCKS1)
Q66PJ3	ENSG00000182196	Homo sapiens	ADP ribosylation factor like GTPase 6 interacting protein 4(ARL6IP4)
Q9BR77	ENSG00000120647	Homo sapiens	coiled-coil domain containing 77(CCDC77)
Q9UI15	ENSG00000144834	Homo sapiens	transgelin 3(TAGLN3)
Q96NT0	ENSG00000136710	Homo sapiens	coiled-coil domain containing 115(CCDC115)
Q9BR76	ENSG00000172725	Homo sapiens	coronin 1B(CORO1B)
P54756	ENSG00000145242	Homo sapiens	EPH receptor A5(EPHA5)
P15104	ENSG00000135821	Homo sapiens	glutamate-ammonia ligase(GLUL)
P16435	ENSG00000127948	Homo sapiens	cytochrome p450 oxidoreductase(POR)
P16435	ENSG00000165637	Homo sapiens	voltage dependent anion channel 2(VDAC2)
P30740	ENSG00000021355	Homo sapiens	serpin family B member 1(SERPINB1)
Q9Y2Z0	ENSG00000165416	Homo sapiens	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone(SUGT1)
Q9UHQ1	ENSG00000141562	Homo sapiens	nuclear prelamin A recognition factor(NARF)
Q9H1D9	ENSG00000132664	Homo sapiens	RNA polymerase III subunit F(POLR3F)
Q9UHQ4	ENSG00000075790	Homo sapiens	B cell receptor associated protein 29(BCAP29)
Q9UHQ4	ENSG00000283852	Homo sapiens	B cell receptor associated protein 29(BCAP29)
Q9Y2Z4	ENSG00000139131	Homo sapiens	tyrosyl-tRNA synthetase 2(YARS2)
