id,name,Abbreviation,EC Number,SUBSYSTEM,Description,Equation,Lower Bound,Upper Bound,μmol/min/gDW,Recon2,Recon2 Formula,KEGG,Gene symbol,Ensembl,HGNC,Gene Name,RNAseq Expression (FPKM),Immunohistochemisty,In list?,Score
R_PEPCKm,Phosphoenolpyruvate carboxykinase (GTP),PEPCKm,4.1.1.32,TCA cycle periphery,GTP + Oxaloacetate --> GDP + Phosphoenolpyruvate + CO2,M_oaa_m + M_gtp_m --> M_co2_m + M_pep_m + M_gdp_m,0.0,1000.0,0.096,PEPCKm,oaa[m] + gtp[m] -> co2[m] + pep[m] + gdp[m],R00431,PCK2,ENSG00000100889,HGNC:8725,Phosphoenolpyruvate carboxykinase (GTP),Low,Not detected,True,10.7634
R_PCm,"Pyruvate carboxylase, mitochondrial",PCm,6.4.1.1,TCA cycle periphery,ATP + Pyruvate + HCO3- --> ADP + Orthophosphate + Oxaloacetate,M_atp_m + M_pyr_m + M_hco3_m --> M_h_m + M_adp_m + M_pi_m + M_oaa_m,0.0,1000.0,0.0,PCm,atp[m] + pyr[m] + hco3[m] -> h[m] + adp[m] + pi[m] + oaa[m],R00344,PC,ENSG00000173599,HGNC:8636,"Pyruvate carboxylase, mitochondrial",Low,Medium,True,19.3217
R_ME2m,Malic Enzyme 3,ME2m,1.1.1.40,TCA cycle periphery,(S)-Malate + NADP+ --> Pyruvate + CO2 + NADPH + H+,M_nadp_m + M_mal_L_m --> M_nadph_m + M_pyr_m + M_co2_m,0.0,1000.0,0.0167,ME2m,nadp[m] + mal_L[m] -> nadph[m] + pyr[m] + co2[m],R00216,ME3,ENSG00000151376,HGNC:6985,Malic Enzyme 3,Medium,Medium,True,21.8086
R_ME1m,Malic Enzyme 2,ME1m,1.1.1.38,TCA cycle periphery,(S)-malate + NAD+ = pyruvate + CO(2) + NADH.,M_nad_m + M_mal_L_m --> M_nadh_m + M_pyr_m + M_co2_m,0.0,1000.0,0.0993,ME1m,nad[m] + mal_L[m] -> nadh[m] + pyr[m] + co2[m],R00214,ME2,ENSG00000082212,HGNC:6984,Malic Enzyme 2,Medium,High,True,18.7687
R_r0081,glutamic pyruvate transaminase (alanine aminotransferase) 2,r0081,2.6.1.2,TCA cycle periphery,L-Alanine + 2-Oxoglutarate --> Pyruvate + L-Glutamate,M_akg_m + M_ala_L_m --> M_pyr_m + M_glu_L_m,-1000.0,1000.0,0.001,r0081,akg[m] + ala_L[m] --> pyr[m] + glu_L[m],R00258,GPT2,ENSG00000166123,HGNC:18062,glutamic pyruvate transaminase (alanine aminotransferase) 2,Low,Medium,True,12.7592
R_ACITLm_MitoCore,ATP citrate lyase,ACITLm_MitoCore,2.3.3.8,TCA cycle periphery,ATP + Citrate + CoA --> ADP + Orthophosphate + Acetyl-CoA + Oxaloacetate,M_atp_m + M_coa_m + M_cit_m --> M_adp_m + M_pi_m + M_accoa_m + M_oaa_m,0.0,1000.0,0.0,,,R00352,ACLY,ENSG00000131473,HGNC:115,ATP citrate lyase,Medium,Low,True,10.8771
R_NDPK1m,"nucleoside-diphosphate kinase (ATP:GDP), mitochondrial",NDPK1m,2.7.4.6,TCA cycle periphery,ATP + GDP --> ADP + GTP,M_atp_m + M_gdp_m --> M_adp_m + M_gtp_m,-1000.0,1000.0,0.0,NDPK1m,atp[m] + gdp[m] --> adp[m] + gtp[m],R00330,NME4,ENSG00000103202,HGNC:7852,nucleoside diphosphate kinase 4,Medium,Medium,True,9.3094
R_NNT_MitoCore,nicotinamide nucleotide transhydrogenase,NNT_MitoCore,1.6.1.2,TCA cycle periphery,NADP+ + NADH --> NADPH + NAD+,M_nadp_m + M_nadh_m + M_h_c + M_PMF_c --> M_nadph_m + M_nad_m + M_h_m + M_PMF_m,0.0,1000.0,0.0,THD1m,h[c] + nadp[m] + nadh[m] -> h[m] + nadph[m] + nad[m],R00112,NNT,ENSG00000112992,HGNC:7863,nicotinamide nucleotide transhydrogenase,High,High,True,13.3432
R_ADK1m,adenylate kinase 2 or 3,ADK1m,2.7.4.3,TCA cycle periphery,ATP + AMP --> 2 ADP,M_atp_m + M_amp_m --> 2.0 M_adp_m,-1000.0,1000.0,0.0,ADK1m,atp[m] + amp[m] --> 2.0 adp[m],R00127,AK2 or AK3,ENSG00000004455 or ENSG00000147853,HGNC:362 or HGNC:17376,adenylate kinase 2 or 3,Medium or High,Medium or High,True,"17.2313, 25.0021"
R_ME2,Malic Enzyme 1,ME2,1.1.1.40,Cytosolic misc,(S)-Malate + NADP+ --> Pyruvate + CO2 + NADPH + H+,M_nadp_c + M_mal_L_c --> M_nadph_c + M_pyr_c + M_co2_c,0.0,1000.0,0.0,ME2,nadp[c] + mal_L[c] -> nadph[c] + pyr[c] + co2[c],R00216,ME1,ENSG00000065833,HGNC:6983,Malic Enzyme 1,Low,Medium,True,11.431
R_ALATA_L,glutamic-pyruvate transaminase (alanine aminotransferase),ALATA_L,2.6.1.2,Cytosolic misc,L-Alanine + 2-Oxoglutarate --> Pyruvate + L-Glutamate,M_akg_c + M_ala_L_c --> M_pyr_c + M_glu_L_c,-1000.0,1000.0,0.009,ALATA_L,akg[c] + ala_L[c] --> pyr[c] + glu_L[c],R00258,GPT,ENSG00000167701,HGNC:4552,glutamic-pyruvate transaminase (alanine aminotransferase),Low,Not detected,False,2.9978
R_NDPK1,nucleoside-diphosphate kinase (ATP:GDP),NDPK1,2.7.4.6,Cytosolic misc,ATP + GDP --> ADP + GTP,M_atp_c + M_gdp_c --> M_adp_c + M_gtp_c,-1000.0,1000.0,0.0,NDPK1,atp[c] + gdp[c] --> adp[c] + gtp[c],R00330,NME2 or NME3 or NME6 or NME7 or CMPK1 or AK1 or AK4 or AK5 or AK7 or AK8 or AK9,ENSG00000011052 or ENSG00000103024 or ENSG00000172113 or ENSG00000143156 or ENSG00000162368 or ENSG00000106992 or ENSG00000162433 or ENSG00000154027 or ENSG00000140057 or ENSG00000165695 or ENSG00000155085,HGNC:7850 or HGNC:7851 or HGNC:20567 or HGNC:20461 or HGNC:18170 or HGNC:361 or HGNC:363 or HGNC:365 or HGNC:20091 or HGNC:26526 or HGNC:33814,nucleoside diphosphate kinase (mulitple),Low or Low or Medium or Low or Low or Medium or High,Not detected or Not detected or Medium or Low or Not detected or High or Medium,"FALSE, TRUE, TRUE, FALSE, FALSE, FALSE, TRUE, FALSE, FALSE, FALSE, FALSE","2.0341, 1.4126, 3.9472, 1.0616, 1.8707, 2.062, 19.9135, -5.0662, -6.409, -3.1941, -8.5792"
R_FUM,fumarate hydratase,FUM,4.2.1.2,Cytosolic misc,Fumarate + H2O --> (S)-Malate,M_h2o_c + M_fum_c --> M_mal_L_c,-1000.0,1000.0,0.0,FUM,h2o[c] + fum[c] --> mal_L[c],R01082,FH,ENSG00000091483,HGNC:3700,fumarate hydratase,High,Medium,True,35.7616
R_ADK1,adenylate kinase 1,ADK1,2.7.4.3,Cytosolic misc,ATP + AMP --> 2 ADP,M_atp_c + M_amp_c --> 2.0 M_adp_c,-1000.0,1000.0,0.4697,ADK1,atp[c] + amp[c] --> 2.0 adp[c],R00127,AK1,ENSG00000106992,HGNC:361,adenylate kinase 1,High,Medium,False,2.062
R_ICDHy,Isocitrate dehydrogenase (NADP+),ICDHy,1.1.1.42,Reductive carboxylation,Isocitrate + NADP(+) -> 2-oxoglutarate + CO(2) + NADPH,M_nadp_c + M_icit_c --> M_nadph_c + M_akg_c + M_co2_c,-0.1,1000.0,-0.096,ICDHy,nadp[c] + icit[c] -> nadph[c] + akg[c] + co2[c],R00267 (R00268 + R01899),IDH1,ENSG00000138413,HGNC:5382,Isocitrate dehydrogenase (NADP+),Medium,Not detected,True,9.2614
R_ACONT,Aconitate hydratase,ACONT,4.2.1.3,Reductive carboxylation,Citrate -> Isocitrate,M_cit_c --> M_icit_c,-1000.0,1000.0,-0.096,ACONT,cit[c] --> icit[c],R01324 (R01325 + R01900),ACO1,ENSG00000122729,HGNC:117,"aconitase 1, soluble",Medium,Medium,True,30.2787
R_ACITL,ATP citrate lyase,ACITL,2.3.3.8,Reductive carboxylation / Acetyl-CoA production for biosynthesis,ATP + Citrate + CoA --> ADP + Orthophosphate + Acetyl-CoA + Oxaloacetate,M_atp_c + M_coa_c + M_cit_c --> M_adp_c + M_pi_c + M_accoa_c + M_oaa_c,0.0,1000.0,0.0,ACITL,atp[c] + coa[c] + cit[c] -> adp[c] + pi[c] + accoa[c] + oaa[c],R00352,ACLY,ENSG00000131473,HGNC:115,ATP citrate lyase,Medium,Low,True,10.8771
R_ASPTA,aspartate transaminase,ASPTA,2.6.1.1,Malate aspartate shuttle,L-Aspartate + 2-Oxoglutarate --> Oxaloacetate + L-Glutamate,M_akg_c + M_asp_L_c --> M_glu_L_c + M_oaa_c,-1000.0,1000.0,2.395,ASPTA,akg[c] + asp_L[c] --> glu_L[c] + oaa[c],R00355,GOT1,ENSG00000120053,HGNC:4432,"glutamic-oxaloacetic transaminase 1, soluble",High,ND,False,-2.9098
R_MDH,malate dehydrogenase,MDH,1.1.1.37,Malate aspartate shuttle,(S)-Malate + NAD+ --> Oxaloacetate + NADH + H+,M_nad_c + M_mal_L_c --> M_h_c + M_nadh_c + M_oaa_c,-1000.0,1000.0,-2.395,MDH,nad[c] + mal_L[c] --> h[c] + nadh[c] + oaa[c],R00342,MDH1,ENSG00000014641,HGNC:6970,"malate dehydrogenase 1, NAD (soluble)",High,Medium,True,12.0828
R_AKGMALtm,Mitochondrial 2-oxoglutarate/malate carrier,AKGMALtm,,Malate aspartate shuttle,Malate - Oxoglutarate (OGC) Antiporter,M_akg_m + M_mal_L_c --> M_akg_c + M_mal_L_m,-1000.0,1000.0,2.5,AKGMALtm,akg[m] + mal_L[c] --> akg[c] + mal_L[m],,SLC25A11,ENSG00000108528,HGNC:10981,solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier),High,High,True,27.0399
R_ASPGLUmB_MitoCore,aspartate-glutamate mitochondrial shuttle,ASPGLUmB_MitoCore,,Malate aspartate shuttle,Glutamate/Aspartate Antiporter (AGC1) - glutamate (in) for aspartate (out),M_h_c + M_PMF_c + M_glu_L_c + M_asp_L_m --> M_h_m + M_PMF_m + M_glu_L_m + M_asp_L_c,0.0,1000.0,2.231,ASPGLUm,h[c] + glu_L[c] + asp_L[m] -> h[m] + glu_L[m] + asp_L[c],,SLC25A12 or SLC25A13,ENSG00000115840 or ENSG00000004864,HGNC:10982 or HGNC:10983,"solute carrier family 25 (aspartate/glutamate carrier), member 12 or 13","High, Low","High, Medium","FALSE, TRUE","-1.0247, 21.9806"
R_ASPTAm,aspartate transaminase,ASPTAm,2.6.1.1,Malate aspartate shuttle,L-Aspartate + 2-Oxoglutarate --> Oxaloacetate + L-Glutamate,M_akg_m + M_asp_L_m --> M_glu_L_m + M_oaa_m,-1000.0,1000.0,-2.231,ASPTAm,akg[m] + asp_L[m] --> glu_L[m] + oaa[m],R00355,GOT2,ENSG00000125166,HGNC:4433,"glutamic-oxaloacetic transaminase 2, mitochondrial",High,High,True,8.8086
R_G3PD1,glycerol-3-phosphate dehydrogenase (NAD+),G3PD1,1.1.1.8   ,Glycerol phosphate shuttle,sn-Glycerol 3-phosphate + NAD+ --> Glycerone phosphate + NADH + H+,M_nad_c + M_glyc3p_c --> M_h_c + M_nadh_c + M_dhap_c,-1000.0,1000.0,0.01,G3PD1,nad[c] + glyc3p[c] --> h[c] + nadh[c] + dhap[c],R00842,GPD1 or GPD1L,ENSG00000167588 or ENSG00000152642,HGNC:4455 or HGNC:28956,glycerol-3-phosphate dehydrogenase 1,Low or High,Medium or Not detected,"FALSE, FALSE","4.5427, 0.0944"
R_r0205,glycerol-3-phosphate dehydrogenase,r0205,1.1.5.3,Glycerol phosphate shuttle,sn-Glycerol 3-phosphate + Ubiquinone --> Glycerone phosphate + Ubiquinol,M_q10_m + M_glyc3p_c --> M_dhap_c + M_q10h2_m,0.0,1000.0,0.0,r0205,q10[m] + glyc3p[c] -> dhap[c] + q10h2[m],R08657,GPD2,ENSG00000115159,HGNC:4456,glycerol-3-phosphate dehydrogenase,Low,Medium,True,21.2901
R_FACOAL160i,acyl-CoA synthetase long-chain family (various),FACOAL160i,6.2.1.3,Carnitine shuttle,ATP + Hexadecanoic acid + CoA --> AMP + Palmitoyl-CoA + Diphosphate,M_atp_c + M_coa_c + M_hdca_c --> M_amp_c + M_ppi_c + M_pmtcoa_c,0.0,1000.0,0.4697,FACOAL160i,atp[c] + coa[c] + hdca[c] -> amp[c] + ppi[c] + pmtcoa[c],R01280,ACSL1 or ACSL3 or ACSL4 or ACSBG1 or ACSL6 or ACSL5 or ACSBG2,ENSG00000151726 or ENSG00000123983 or ENSG00000068366 or ENSG00000103740 or ENSG00000164398 or ENSG00000197142 or ENSG00000130377,HGNC:3569 or HGNC:3570 or HGNC:3571 or HGNC:29567 or HGNC:16496 or HGNC:16526 or HGNC:24174,acyl-CoA synthetase long-chain family (various),Medium or Medium or Medium or Not detected or Not detected or Low or Not detected,High or Medium or Low or Medium or Not detected or Not detected or Not detected,"TRUE, FALSE, FALSE, FALSE, N/A, FALSE, FALSE","7.5981, -1.7369, -1.7369, 2.3512, N/A, 5.2209, -1.3535"
R_C160CPT1,carnitine palmitoyltransferase 1B (muscle),C160CPT1,2.3.1.21,Carnitine shuttle,Palmitoyl-CoA + L-Carnitine --> CoA + L-Palmitoylcarnitine,M_pmtcoa_c + M_crn_c --> M_coa_c + M_pmtcrn_c,-1000.0,1000.0,0.4697,C160CPT1,pmtcoa[c] + crn[c] -> coa[c] + pmtcrn[c],R01923,CPT1B,ENSG00000205560,HGNC:2329,carnitine palmitoyltransferase 1B (muscle),High,High,True,11.4641
R_PPA,pyrophosphatase 1,PPA,3.6.1.1,Carnitine shuttle,Pyrophosphate+H2O-->2Orthophosphate,M_h2o_c + M_ppi_c --> M_h_c + 2.0 M_pi_c,0.0,1000.0,0.4697,PPA,h2o[c] + ppi[c] -> h[c] + 2.0 pi[c],R00004,PPA1,ENSG00000180817,HGNC:9226,pyrophosphatase 1,Medium,Low,False,2.4061
R_r2435,carnitine carrier,r2435,,Carnitine shuttle,"carnitine carrier - Carnitine out, acyl carnitine in ",M_crn_m + M_pmtcrn_c --> M_crn_c + M_pmtcrn_m,-1000.0,1000.0,0.4697,r2435,crn[m] + pmtcrn[c] -> crn[c] + pmtcrn[m],,SLC25A20,ENSG00000178537,HGNC:1421,carnitine carrier,Medium,Medium,True,28.3039
R_C160CPT2,carnitine palmitoyltransferase 2 (mitochondrial),C160CPT2,2.3.1.21,Carnitine shuttle,CoA + L-Palmitoylcarnitine --> Palmitoyl-CoA + L-Carnitine,M_coa_m + M_pmtcrn_m --> M_pmtcoa_m + M_crn_m,-1000.0,1000.0,0.4697,C160CPT2,coa[m] + pmtcrn[m] -> pmtcoa[m] + crn[m],R01923,CPT2,ENSG00000157184,HGNC:2330,carnitine palmitoyltransferase 2,Low,Medium,True,32.7824
R_PPAm,pyrophosphatase 2,PPAm,3.6.1.1,Carnitine shuttle,Pyrophosphate+H2O-->2Orthophosphate,M_h2o_m + M_ppi_m --> M_h_m + 2.0 M_pi_m,-1000.0,1000.0,0.0,PPAm,h2o[m] + ppi[m] -> h[m] + 2.0 pi[m],R00004,PPA2,ENSG00000138777,HGNC:28883,pyrophosphatase 2,Low,Medium,True,21.6578
R_ACOT2_MitoCore,,ACOT2_MitoCore,3.1.2.2,Fatty acid elongation in mitochondria,Palmitoyl-CoA + H2O --> CoA + Hexadecanoic acid,M_pmtcoa_m + M_h2o_m --> M_coa_m + M_hdca_m,0.0,1000.0,0.0,,,R01274,ACOT2,ENSG00000119673,HGNC:18431,acyl-CoA thioesterase 2,Medium,High,True,13.6365
R_ACADLC16_MitoCore,long-chain acyl-CoA dehydrogenase,ACADLC16_MitoCore,"1.3.8.8, 1.5.5.1",FA metabolism,Palmitoyl-CoA + Q --> trans-Hexadec-2-enoyl-CoA + QH2,M_h2o_m + M_pmtcoa_m + M_q10_m --> M_q10h2_m + M_3hexdcoa_m,0.0,1000.0,0.4697,FAOXC16C16OHm,h2o[m] + pmtcoa[m] + fad[m] -> fadh2[m] + 3hexdcoa[m],R01279,ACADL and ETFDH,ENSG00000115361 and ENSG00000171503,HGNC:88 and HGNC:3483,long-chain acyl-CoA dehydrogenase,Low and Medium,Low and High,"TRUE, TRUE","28.0206, 34.3966"
R_MECR16C_MitoCore,mitochondrial trans-2-enoyl-CoA reductase,MECR16C_MitoCore,1.3.1.38,Fatty acid elongation in mitochondria,trans-Hexadec-2-enoyl-CoA + NADPH + H+ --> Palmitoyl-CoA + NADP+,M_3hexdcoa_m + M_nadph_m + M_h_m --> M_pmtcoa_m + M_nadp_m,0.0,1000.0,0.0,,,R01278,MECR,ENSG00000116353,HGNC:19691,mitochondrial trans-2-enoyl-CoA reductase,Medium,High,True,27.6896
R_MTPC16_MitoCore,mitochondrial trifunctional protein,MTPC16_MitoCore,"4.2.1.74, 1.1.1.211, 2.3.1.16",FA metabolism,trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Tetradecanoyl-CoA + NADH + Acetyl-CoA,M_3hexdcoa_m + M_h2o_m + M_nad_m + M_coa_m --> M_nadh_m + M_h_m + M_tetd7ecoa_m + M_accoa_m,-1000.0,1000.0,0.4697,,,"R04738, R04737, R03991",HADHA and HADHB,ENSG00000084754 and ENSG00000138029,HGNC:4801 and HGNC:4803,Mitochondrial trifunctional protein,High and High,Medium and Medium,"TRUE, TRUE","33.5571, 11.8128"
R_ACADLC14_MitoCore,long-chain acyl-CoA dehydrogenase,ACADLC14_MitoCore,"1.3.8.8, 1.5.5.1",FA metabolism,Tetradecanoyl-CoA + Q --> trans-Tetradec-2-enoyl-CoA + QH2,M_h2o_m + M_q10_m + M_tetd7ecoa_m --> M_q10h2_m + M_3tetd7ecoa_m,0.0,1000.0,0.4697,FAOXC141C141OHm,h2o[m] + fad[m] + tetd7ecoa[m] -> fadh2[m] + 3tetd7ecoa[m],R03990,ACADL and ETFDH,ENSG00000115361 and ENSG00000171503,HGNC:88 and HGNC:3483,long-chain acyl-CoA dehydrogenase,Low and Medium,Low and High,"TRUE, TRUE","28.0206, 34.3966"
R_MECR14C_MitoCore,mitochondrial trans-2-enoyl-CoA reductase,MECR14C_MitoCore,1.3.1.38,Fatty acid elongation in mitochondria,trans-Tetradec-2-enoyl-CoA + NADPH + H+ --> Tetradecanoyl-CoA + NADP+,M_3tetd7ecoa_m + M_nadph_m + M_h_m --> M_tetd7ecoa_m + M_nadp_m,0.0,1000.0,0.0,,,R03989,MECR,ENSG00000116353,HGNC:19691,mitochondrial trans-2-enoyl-CoA reductase,Medium,High,True,27.6896
R_MTPC14_MitoCore,mitochondrial trifunctional protein,MTPC14_MitoCore,"4.2.1.74, 1.1.1.211, 2.3.1.16",FA metabolism,trans-Hexadec-2-enoyl-CoA + H2O + NAD+ + CoA -> Lauroyl-CoA + NADH + Acetyl-CoA,M_3tetd7ecoa_m + M_h2o_m + M_nad_m + M_coa_m --> M_nadh_m + M_h_m + M_ddcacoa_m + M_accoa_m,-1000.0,1000.0,0.4697,,,"R04740, R04739, R03858",HADHA and HADHB,ENSG00000084754 and ENSG00000138029,HGNC:4801 and HGNC:4803,Mitochondrial trifunctional protein,High and High,Medium and Medium,"TRUE, TRUE","33.5571, 11.8128"
R_r1447,medium acyl-CoA dehydrogenase,r1447,"1.3.8.7, 1.5.5.1",FA metabolism,Lauroyl-CoA + Q --> 2-trans-Dodecenoyl-CoA + QH2,M_ddcacoa_m + M_q10_m --> M_q10h2_m + M_dd2coa_m,0.0,1000.0,0.4697,r1447,ddcacoa[m] + q10[m] -> q10h2[m] + dd2coa[m],R03857,ACADM and ETFDH,ENSG00000117054 and ENSG00000171503,HGNC:89 and HGNC:3483,medium acyl-CoA dehydrogenase,High and Medium,High and High,"TRUE, TRUE","30.6075, 34.3966"
R_r0638,mitochondrial trans-2-enoyl-CoA reductase,r0638,1.3.1.38,Fatty acid elongation in mitochondria,Lauroyl-CoA + NADP+ --> 2-trans-Dodecenoyl-CoA + NADPH + H+,M_nadp_m + M_ddcacoa_m --> M_h_m + M_nadph_m + M_dd2coa_m,-1000.0,0.0,0.0,r0638,nadp[m] + ddcacoa[m] --> h[m] + nadph[m] + dd2coa[m],R03856,MECR,ENSG00000116353,HGNC:19691,mitochondrial trans-2-enoyl-CoA reductase,Medium,High,True,27.6896
R_r0660,enoyl CoA hydratase,r0660,4.2.1.17,FA metabolism,(S)-3-Hydroxydodecanoyl-CoA --> 2-trans-Dodecenoyl-CoA + H2O ,M_HC01401_m --> M_h2o_m + M_dd2coa_m,-1000.0,1000.0,-0.4697,r0660,HC01401[m] --> h2o[m] + dd2coa[m],R04170,ECHS1,ENSG00000127884,HGNC:3151,enoyl CoA hydratase,High,High,True,33.7065
R_r0722,3-hydroxyacyl-CoA dehydrogenase,r0722,1.1.1.35,FA metabolism,(S)-3-Hydroxydodecanoyl-CoA + NAD+ --> 3-Oxododecanoyl-CoA + NADH + H+,M_nad_m + M_HC01401_m --> M_h_m + M_nadh_m + M_3oddcoa_m,-1000.0,1000.0,0.4697,r0722,nad[m] + HC01401[m] --> h[m] + nadh[m] + 3oddcoa[m],R04741,HADH,ENSG00000138796,HGNC:4799,3-hydroxyacyl-CoA dehydrogenase,High,High,True,28.0734
R_r0724,acetyl-CoA acyltransferase 2,r0724,2.3.1.16,FA metabolism,Decanoyl-CoA + Acetyl-CoA --> CoA + 3-Oxododecanoyl-CoA,M_accoa_m + M_dcacoa_m --> M_coa_m + M_3oddcoa_m,-1000.0,1000.0,-0.4697,r0724,accoa[m] + dcacoa[m] --> coa[m] + 3oddcoa[m],R04742,ACAA2,ENSG00000167315,HGNC:83,acetyl-CoA acyltransferase 2,Medium,Medium,True,22.5372
R_r1451,medium acyl-CoA dehydrogenase,r1451,"1.3.8.7, 1.5.5.1",FA metabolism,Decanoyl-CoA + Q -->trans-Dec-2-enoyl-CoA + QH2,M_dcacoa_m + M_q10_m --> M_q10h2_m + M_dc2coa_m,0.0,1000.0,0.4697,r1451,dcacoa[m] + q10[m] -> q10h2[m] + dc2coa[m],R04754,ACADM and ETFDH,ENSG00000117054 and ENSG00000171503,HGNC:89 and HGNC:3483,medium acyl-CoA dehydrogenase,High and Medium,High and High,"TRUE, TRUE","30.6075, 34.3966"
R_r0735,mitochondrial trans-2-enoyl-CoA reductase,r0735,1.3.1.38,Fatty acid elongation in mitochondria,Decanoyl-CoA + NADP+ --> trans-Dec-2-enoyl-CoA + NADPH + H+,M_nadp_m + M_dcacoa_m --> M_h_m + M_nadph_m + M_dc2coa_m,-1000.0,0.0,0.0,r0735,nadp[m] + dcacoa[m] --> h[m] + nadph[m] + dc2coa[m],R04753,MECR,ENSG00000116353,HGNC:19691,mitochondrial trans-2-enoyl-CoA reductase,Medium,High,True,27.6896
R_r0728,enoyl CoA hydratase,r0728,4.2.1.17,FA metabolism,(S)-Hydroxydecanoyl-CoA --> trans-Dec-2-enoyl-CoA + H2O,M_HC01403_m --> M_h2o_m + M_dc2coa_m,-1000.0,1000.0,-0.4697,r0728,HC01403[m] --> h2o[m] + dc2coa[m],R04744,ECHS1,ENSG00000127884,HGNC:3151,enoyl CoA hydratase,High,High,True,33.7065
R_r0726,3-hydroxyacyl-CoA dehydrogenase,r0726,1.1.1.35,FA metabolism,(S)-Hydroxydecanoyl-CoA + NAD+ --> 3-Oxodecanoyl-CoA + NADH + H+,M_HC01403_m + M_nad_m --> M_3odcoa_m + M_nadh_m + M_h_m,-1000.0,1000.0,0.4697,r0726,nad[m] + HC01403[m] --> h[m] + nadh[m] + 3odcoa[m],R04743,HADH,ENSG00000138796,HGNC:4799,3-hydroxyacyl-CoA dehydrogenase,High,High,True,28.0734
R_r0634,acetyl-CoA acyltransferase 2,r0634,2.3.1.16,FA metabolism,Octanoyl-CoA + Acetyl-CoA --> CoA + 3-Oxodecanoyl-CoA,M_accoa_m + M_occoa_m --> M_coa_m + M_3odcoa_m,-1000.0,1000.0,-0.4697,r0634,accoa[m] + occoa[m] --> coa[m] + 3odcoa[m],R03778,ACAA2,ENSG00000167315,HGNC:83,acetyl-CoA acyltransferase 2,Medium,Medium,True,22.5372
R_r1448,medium acyl-CoA dehydrogenase,r1448,"1.3.8.7, 1.5.5.1",FA metabolism,Octanoyl-CoA + Q --> trans-Oct-2-enoyl-CoA + QH2,M_occoa_m + M_q10_m --> M_HC01415_m + M_q10h2_m,0.0,1000.0,0.4697,r1448,occoa[m] + q10[m] -> q10h2[m] + HC01415[m],R03777,ACADM and ETFDH,ENSG00000117054 and ENSG00000171503,HGNC:89 and HGNC:3483,medium acyl-CoA dehydrogenase,High and Medium,High and High,"TRUE, TRUE","30.6075, 34.3966"
R_r0633,mitochondrial trans-2-enoyl-CoA reductase,r0633,1.3.1.38,Fatty acid elongation in mitochondria,Octanoyl-CoA + NADP+ --> trans-Oct-2-enoyl-CoA + NADPH + H+,M_nadp_m + M_occoa_m --> M_h_m + M_nadph_m + M_HC01415_m,-1000.0,0.0,0.0,r0633,nadp[m] + occoa[m] --> h[m] + nadph[m] + HC01415[m],R03776,MECR,ENSG00000116353,HGNC:19691,mitochondrial trans-2-enoyl-CoA reductase,Medium,High,True,27.6896
R_r0731,enoyl CoA hydratase,r0731,4.2.1.17,FA metabolism,trans-Oct-2-enoyl-CoA + H2O --> (S)-Hydroxyoctanoyl-CoA,M_HC01415_m + M_h2o_m --> M_HC01405_m,-1000.0,1000.0,0.4697,r0731,h2o[m] + HC01415[m] -> HC01405[m],R04746,ECHS1,ENSG00000127884,HGNC:3151,enoyl CoA hydratase,High,High,True,33.7065
R_r0730,3-hydroxyacyl-CoA dehydrogenase,r0730,1.1.1.35,FA metabolism,(S)-Hydroxyoctanoyl-CoA + NAD+ --> 3-Oxooctanoyl-CoA + NADH + H+,M_HC01405_m + M_nad_m --> M_HC01406_m + M_nadh_m + M_h_m,-1000.0,1000.0,0.4697,r0730,nad[m] + HC01405[m] -> h[m] + nadh[m] + HC01406[m],R04745,HADH,ENSG00000138796,HGNC:4799,3-hydroxyacyl-CoA dehydrogenase,High,High,True,28.0734
R_r0732,medium acyl-CoA dehydrogenase,r0732,2.3.1.16,FA metabolism,CoA + 3-Oxooctanoyl-CoA  --> Hexanoyl-CoA + Acetyl-CoA,M_coa_m + M_HC01406_m --> M_HC01409_m + M_accoa_m,-1000.0,1000.0,0.4697,r0732,coa[m] + HC01406[m] -> accoa[m] + HC01409[m],R04747,ACAA2,ENSG00000167315,HGNC:83,acetyl-CoA acyltransferase 2,Medium,Medium,True,22.5372
R_r1450,medium acyl-CoA dehydrogenase,r1450,"1.3.8.7, 1.5.5.1",FA metabolism,Hexanoyl-CoA + Q --> trans-Hex-2-enoyl-CoA + QH2,M_HC01409_m + M_q10_m --> M_HC01410_m + M_q10h2_m,0.0,1000.0,0.4697,r1450,q10[m] + HC01409[m] -> q10h2[m] + HC01410[m],R04751,ACADM and ETFDH,ENSG00000117054 and ENSG00000171503,HGNC:89 and HGNC:3483,medium acyl-CoA dehydrogenase,High and Medium,High and High,"TRUE, TRUE","30.6075, 34.3966"
R_r0791,mitochondrial trans-2-enoyl-CoA reductase,r0791,1.3.1.38,Fatty acid elongation in mitochondria,trans-Hex-2-enoyl-CoA + NADPH + H+ --> Hexanoyl-CoA + NADP+,M_h_m + M_nadph_m + M_HC01410_m --> M_nadp_m + M_HC01409_m,0.0,1000.0,0.0,r0791,h[m] + nadph[m] + HC01410[m] --> nadp[m] + HC01409[m],R06985,MECR,ENSG00000116353,HGNC:19691,mitochondrial trans-2-enoyl-CoA reductase,Medium,High,True,27.6896
