,mitocore,mitoparp,293,mitoparp + high NAD,293 + high NAD,mitoparp + low NAD,293 + low NAD,subsystem
HOXG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Degradation
BILIRED2_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Degradation
BILIRED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Degradation
ALASm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
HMBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
PHEMEtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
5AOPtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Haem Synthesis
CPPPGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
FCLTm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
UPPDC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
PPBNGS,-1000.0,,,,,,,Haem Synthesis
PPPGOmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
UPP3S,-1000.0,,,,,,,Haem Synthesis
IZPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Histidine degradation
GluForTx,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Histidine degradation
URCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Histidine degradation
HISD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Histidine degradation
r0603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isoleucine degradation
ACACT10m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isoleucine degradation
ECOAH9m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isoleucine degradation
OIVD3m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isoleucine degradation
ILETAm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Isoleucine degradation
HACD9m,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Isoleucine degradation
HMGCOASim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ketogenesis
HMGLm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ketogenesis / Leucine degradation
OCOAT1m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Ketone bodies - degradation
BDHm,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Ketone bodies - degradation
r0655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leucine degradation
MCCCrm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leucine degradation
MGCHrm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Leucine degradation
LEUTAm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Leucine degradation
OIVD1m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leucine degradation
1PPDCRc_NADPH_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
RE1254C,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Lysine degradation (L-pipecolate pathway)
LPCOXc_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2AMADPTmB_MitoCore,0.0,,,,,,,Lysine degradation (L-pipecolate pathway)
1PPDCRc_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
LYSOXc_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2AMADPTmC_MitoCore,0.0,,,,,,,Lysine degradation (L-pipecolate pathway)
r0594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
PPD2CSPc_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Lysine degradation (L-pipecolate pathway)
r0450,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Lysine degradation (saccharopine pathway)
R03103_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (saccharopine pathway)
AASAD3m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (saccharopine pathway)
SACCD3m,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Lysine degradation (saccharopine pathway)
r0525,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Lysine degradation (saccharopine pathway)
AKGMALtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Malate aspartate shuttle
ASPGLUmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malate aspartate shuttle
ASPTA,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Malate aspartate shuttle
ASPTAm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Malate aspartate shuttle
MDH,-1000.0,-1000.0,-1000.0,-2.7050000000000005,-2.7050000000000005,-2.510105590062112,-2.510105590062112,Malate aspartate shuttle
CYSTGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Methionine and Serine degradation
CYSTS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Methionine and Serine degradation
METAT2_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Methionine degradation
METAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Methionine degradation
ADNK1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Methionine degradation
AHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Methionine degradation
GLYCtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
H2Otm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
TCYNTtmB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
r0941,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
CYANtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
PCREATtmdiffirB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
CREATtmdiffir,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
CO2tm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
Biomasst_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
O2tm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
r0838B_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transport - diffusion / artificial
PEFLIPm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transport - lipids
PCFLOPm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transport - lipids
PSFLIPm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transport - lipids
MALSO4tm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
ORNt3mB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
MALTSULtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
FE2tm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
COAtmC_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
COAtmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
r0829,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
CITtbm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
CITtamB,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
ORNt4mB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
r0830,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
ATPtmB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
HtmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
r0830B_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
ARGtmB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
PYRt2m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
ACACt2mB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
r0917b_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
PIt2mB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
r1427,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
r2398B_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
r2402B_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
SUCCt3m_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
r0913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
GLUt2mB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
MALtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
r0917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
LYStmB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
SUCCt2m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
MALSO3tm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - characterised
BALAtmr,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
GLYtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
GLNtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
FUMtmB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
LEUt5m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
CHLtmB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
ASNtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
BUTt2mB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
BHBtmB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
ILEt5m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
PROtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
PPAtmB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
r1437,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
r1440,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
r0962B_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
FORt2mB_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
TRPtm_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
r1078,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
VALt5m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
r1455,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
r1436,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
r1435,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
UREAtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
r1434,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Mitochondrial transporters - uncharacterised
NOS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOS Signalling
NOS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOS Signalling
OF_ATP_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Objective Function - ATP 
OF_HEME_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Objective Function - Heme
OF_LIPID_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Objective Function - Lipid synthesis 
OF_PROTEIN_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Objective Function - Protein Synthesis
ORNTArm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Ornithine degradation
ORNDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ornithine degradation (cytosolic)
ABUTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ornithine degradation (cytosolic)
r0464c_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ornithine degradation (cytosolic)
PTRCOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ornithine degradation (cytosolic)
PGL,0.0,,0.0,,0.0,,0.0,Pentose phosphate pathway
TALA,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Pentose phosphate pathway
RPE,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Pentose phosphate pathway
TKT2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Pentose phosphate pathway
G6PDH2r,0.0,,0.0,,0.0,,0.0,Pentose phosphate pathway
TKT1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Pentose phosphate pathway
GND,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Pentose phosphate pathway
RPI,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Pentose phosphate pathway
DHPR,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Phenylalanine degradation
r0399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phenylalanine degradation
r0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proline / ornithine degradation
PROD2mB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proline degradation
G5SADrm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Proline degradation/synthesis
G5SDym,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Proline synthesis
P5CRxm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proline synthesis
P5CRm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proline synthesis
GLU5Km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proline synthesis
MMEm,-1000.0,-1000.0,,-1000.0,,-1000.0,,Propanoate metabolism
ACCOALm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Propanoate metabolism
MMMm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Propanoate metabolism
MMSAD1m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Propanoate metabolism
PPCOACm,0.0,0.0,,0.0,,0.0,,Propanoate metabolism
MMCDm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Propanoate synthesis
RE2649M,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Propanoate synthesis
ADSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Purine Nucleotide Cycle
AMPD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Purine Nucleotide Cycle
ADSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Purine Nucleotide Cycle
GTHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS defense
GTHOm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS defense
GTHPm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS defense
GTHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS defense
SPODMm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS defense
ICDHy,-0.1,-0.1,-0.1,-0.0999999999999999,-0.0999999999999999,-0.0962637362637362,-0.0962637362637362,Reductive carboxylation
ACONT,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Reductive carboxylation
ACITL,0.0,0.0,,0.0,,0.0,,Reductive carboxylation / Acetyl-CoA production for biosynthesis
PGCD,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Serine and glycine biosynthesis
GHMT2r,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Serine and glycine biosynthesis
PSP_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Serine and glycine biosynthesis
PSERT,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Serine and glycine biosynthesis
GHMT2rm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Serine and glycine biosynthesis
r0060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Serine degradation
ACONTm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,TCA cycle
MDHm,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,TCA cycle
AKGDm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCA cycle
ICDHyrm,-1000.0,-1000.0,-1000.0,-2.212640664366225,-75.05917426191193,-1.7582325816171889,-59.64433713161324,TCA cycle
ICDHxm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCA cycle
CSm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCA cycle
SUCOASm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,TCA cycle
SUCOAS1m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,TCA cycle
PDHm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCA cycle
FUMm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,TCA cycle
ACITLm_MitoCore,0.0,0.0,,0.0,,0.0,,TCA cycle periphery
ME1m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCA cycle periphery
PCm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCA cycle periphery
NDPK1m,-1000.0,,-1000.0,,-1000.0,,-1000.0,TCA cycle periphery
ME2m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCA cycle periphery
r0081,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,TCA cycle periphery
ADK1m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,TCA cycle periphery
PEPCKm,0.0,,0.0,,0.0,,0.0,TCA cycle periphery
NNT_MitoCore,0.0,,0.0,,0.0,,0.0,TCA cycle periphery
r1154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Threonine and Methionine degradation
2HBO,-1000.0,-1000.0,-1000.0,-0.0169999999999954,-0.0169999999999954,-0.0109929328621878,-0.0109929328621878,Threonine and Methionine degradation
THRD_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Threonine degradation
r1155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Threonine degradation
r0541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan / Lysine Metabolism 
2OXOADOXm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan / Lysine Metabolism 
3HAO,0.0,,,,,,,Tryptophan Metabolism 
PCLAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
KYN3OX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
TRPO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
AMCOXO2_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
AMCOXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
HKYNH,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Tryptophan Metabolism 
2OXOADPTmB_MitoCore,0.0,,,,,,,Tryptophan Metabolism 
FKYNH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
r0645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
2OXOADPTmC_MitoCore,0.0,,,,,,,Tryptophan Metabolism 
TYRTA,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Tyrosine degradation
FUMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyrosine degradation
34HPPOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyrosine degradation
HGNTOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyrosine degradation
MACACI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyrosine degradation
TYRTB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyrosine degradation
ARGN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urea Cycle
ARGNm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urea Cycle
ARGSL,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Urea Cycle
ARGSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urea Cycle
3HBCOAHLm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Valine degradation
OIVD2m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valine degradation
r0560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valine degradation
ECOAH12m,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Valine degradation
VALTAm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Valine degradation
HIBDm,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Valine degradation
EX_2hb_e,-1000.0,,,,,,,
EX_HC00250_e,-1000.0,,,,,,,
EX_ac_e,-1000.0,,,,,,,
EX_acac_e,-1000.0,,,,,,,
EX_akg_e,-1000.0,,,,,,,
EX_ala_B_e,-1000.0,,,,,,,
EX_ala_L_e,-1000.0,,,,,,,
EX_arg_L_e,-1000.0,,,,,,,
EX_argsuc_e,-1000.0,,,,,,,
EX_asn_L_e,-1000.0,,,,,,,
EX_asp_L_e,-1000.0,,,,,,,
EX_bhb_e,-1000.0,,,,,,,
EX_bilirub_e,-1000.0,,,,,,,
EX_biomass_e,-1000.0,,,,,,,
EX_but_e,-1000.0,,,,,,,
EX_chol_e,-1000.0,,,,,,,
EX_cit_e,-1000.0,,,,,,,
EX_citr_L_e,-1000.0,,,,,,,
EX_co2_e,-1000.0,,,,,,,
EX_co_e,-1000.0,,,,,,,
EX_creat_e,-1000.0,,,,,,,
EX_cyan_e,-1000.0,,,,,,,
EX_cys_L_e,-1000.0,,,,,,,
EX_etoh_e,-1000.0,,,,,,,
EX_fe2_e,-1000.0,,,,,,,
EX_fol_e,-1000.0,,,,,,,
EX_for_e,-1000.0,,,,,,,
EX_fum_e,-1000.0,,,,,,,
EX_glc_D_e,-1000.0,,,,,,,
EX_gln_L_e,-1000.0,,,,,,,
EX_glu_L_e,-1000.0,,,,,,,
EX_gly_e,-1000.0,,,,,,,
EX_glyc_e,-1000.0,,,,,,,
EX_h2o_e,-1000.0,,,,,,,
EX_h_e,-1000.0,,,,,,,
EX_hco3_e,-1000.0,,,,,,,
EX_hdca_e,-1000.0,,,,,,,
EX_his_L_e,-1000.0,,,,,,,
EX_icit_e,-1000.0,,,,,,,
EX_ile_L_e,-1000.0,,,,,,,
EX_lac_L_e,-1000.0,,,,,,,
EX_leu_L_e,-1000.0,,,,,,,
EX_lys_L_e,-1000.0,,,,,,,
EX_mal_L_e,-1000.0,,,,,,,
EX_mercplac_e,-1000.0,,,,,,,
EX_met_L_e,-1000.0,,,,,,,
EX_nad_e,-1000.0,,,,,,,
EX_nadh_e,-1000.0,,,,,,,
EX_nh4_e,-1000.0,,,,,,,
EX_no_e,-1000.0,,,,,,,
EX_o2_e,-1000.0,,,,,,,
EX_oaa_e,-1000.0,,,,,,,
EX_pchol_hs_e,-1000.0,,,,,,,
EX_pcreat_e,-1000.0,,,,,,,
EX_pe_hs_e,-1000.0,,,,,,,
EX_phe_L_e,-1000.0,,,,,,,
EX_pi_e,-1000.0,,,,,,,
EX_ppa_e,-1000.0,,,,,,,
EX_pro_L_e,-1000.0,,,,,,,
EX_ps_hs_e,-1000.0,,,,,,,
EX_ser_L_e,-1000.0,,,,,,,
EX_so3_e,-1000.0,,,,,,,
EX_succ_e,-1000.0,,,,,,,
EX_tcynt_e,-1000.0,,,,,,,
EX_thr_L_e,-1000.0,,,,,,,
EX_trp_L_e,-1000.0,,,,,,,
EX_tsul_e,-1000.0,,,,,,,
EX_tyr_L_e,-1000.0,,,,,,,
EX_urea_e,-1000.0,,,,,,,
EX_val_L_e,-1000.0,,,,,,,
